Nome,Tipo,Coordinate,Distance_from_POI
Synlab Centro Diagnostico,clinic,"(45.804805, 9.0800085)",0.8263902004906573
Piattaforma ecologica COMO,waste_transfer_station,"(45.7795825, 9.0711894)",3.708349368311523
Venus,nightclub,"(45.802781, 9.0821605)",1.007397641562024
La Coccinella,childcare,"(45.823127, 9.05526)",2.5435581523107347
La Piadineria,restaurant,"(45.811197, 9.0787932)",0.3855943353691472
Fontanello,drinking_water,"(45.8049548, 9.0987842)",1.3977186665773158
Pizzeria Kebab,restaurant,"(45.7899961, 9.0836415)",2.421430385022291
E bike,bicycle_rental,"(45.8089645, 9.0877298)",0.4438350352068333
Bistrot,cafe,"(45.8088472, 9.0878344)",0.4588088634376291
Sapori del Sud,restaurant,"(45.8097927, 9.0870385)",0.34190188007016215
Nenne' Trattoria,restaurant,"(45.8171945, 9.0832619)",0.6024956546844169
Guilietta al Lago,restaurant,"(45.8235169, 9.0773753)",1.3934102166497355
Beretta il Fornaio,cafe,"(45.7805598, 9.0781344)",3.496957519066634
Pomodoro rosso,restaurant,"(45.8098331, 9.0821096)",0.24874341938304706
Rive,restaurant,"(45.8093198, 9.0813702)",0.32742077242328554
Vertigo,ice_cream,"(45.8112233, 9.0841805)",0.07313177585637042
Basilica di San Fedele,place_of_worship,"(45.809693574648605, 9.084585549641016)",0.2424715874089248
Joy,restaurant,"(45.82056359517265, 9.066706237220252)",1.6412278895656616
Parcheggio Via Castelnuovo,parking,"(45.80201185967105, 9.09285208040394)",1.2989113694952104
ITIS Magistri Cumacini,college,"(45.78691890565366, 9.055665878398392)",3.5186581379915887
Istituto Paritario Orsoline San Carlo,school,"(45.82448784434048, 9.051177992444453)",2.894147136376839
Chiesa di San Zenone,place_of_worship,"(45.824528153047524, 9.049686595682482)",2.9979652103234438
Istituto Paritario Liceo Artistico Michelangelo,school,"(45.82755297840424, 9.048730234184477)",3.232849548457864
Monte Olimpino,post_office,"(45.82536056507748, 9.049967657838158)",3.0238154131315933
Polizia,police,"(45.80411105, 9.0833777)",0.8529194122967028
Carige,bank,"(45.812371244018266, 9.082544431386129)",0.1101146835052051
Arena,parking,"(45.81094390078539, 9.085367006945638)",0.16063469483415752
Teatro Sociale,theatre,"(45.81153135627813, 9.084902664113915)",0.09879159002098183
Istituto Dante Alighieri,school,"(45.80658512250661, 9.080442276240655)",0.6301449633470364
Parcheggio Birrificio,parking,"(45.78916495154996, 9.082534605956452)",2.5153933003248867
Il Birrificio di Como,restaurant,"(45.78948685412882, 9.082710729571607)",2.4791823199466183
Istituto Paritario Orsoline San Carlo,school,"(45.810148926592255, 9.077990697731222)",0.47823275704011814
Liceo Statale Teresa Ciceri,school,"(45.80739542424669, 9.08617663224293)",0.5246506975508735
Liceo Classico e Scientifico Alessandro Volta,school,"(45.80707165555053, 9.085521372770563)",0.5426729197299387
Deutsche Bank,bank,"(45.81156023344603, 9.076376970318998)",0.5684115800333248
Credito Valtellinese,bank,"(45.81141705000001, 9.0759084)",0.6056570452823871
Università dell' Insubria,university,"(45.812048156049265, 9.076056046872537)",0.5935576746116206
Chiesa di San Giorgio,place_of_worship,"(45.81382036207796, 9.069413828918735)",1.131978005584703
Autosilo Valmulini,parking,"(45.791353408138015, 9.092323448332731)",2.367836371227006
Ilgap,cafe,"(45.805631557497875, 9.089421872225426)",0.8162544429496064
Banca Popolare di Sondrio,bank,"(45.80510057317283, 9.087687610730969)",0.8052024467512818
Biblioteca comunale,library,"(45.808271795591374, 9.081521983617883)",0.42476047796212735
Comando Provinciale Carabinieri,police,"(45.79871668992561, 9.094603139135108)",1.6820609378701188
Politecnico di Milano - Polo Territoriale di Como,university,"(45.80119787660066, 9.09273017124905)",1.3705597306181707
Chiesa di San Bartolomeo,place_of_worship,"(45.802570278767504, 9.086889746048303)",1.0537456809197148
Santa Cecilia,place_of_worship,"(45.80718690632757, 9.085144028716272)",0.523186426932374
Chiesa di Sant'Agostino,place_of_worship,"(45.81582631894774, 9.085017711883264)",0.461346912290171
Vecchio Ospedale Sant'Anna,hospital,"(45.79130594420902, 9.089377537858907)",2.3184964796900918
Bar e Fotocopisteria Motorizzazione,bar,"(45.779116800000004, 9.07897035)",3.649073690741113
Stazione di Grandate,parking,"(45.782057377873784, 9.05485781163206)",3.992168524644393
Deposito Autobus,parking,"(45.781852474155606, 9.052881192832096)",4.098882456255577
Chiesa di Santa Maria Regina,place_of_worship,"(45.78781606714144, 9.092012352733738)",2.74130774888346
Asilo Sant'Elia,kindergarten,"(45.798555796196425, 9.088640544364296)",1.519712020699361
Spazio culturale Antonio Ratti,exhibition_centre,"(45.806807649999996, 9.087118999999998)",0.6139930342010685
Mercato Comunale,marketplace,"(45.8067440769666, 9.087943805274232)",0.6505418341754473
Santi Apostoli Pietro e Paolo,place_of_worship,"(45.802131498910406, 9.100714871074661)",1.7038904805807409
Cinema Gloria,cinema,"(45.79143744524506, 9.077507073645256)",2.3116373348210786
RSA Le Camelie,social_facility,"(45.82239184355355, 9.06515543419373)",1.8612159148650305
Espansione TV,studio,"(45.80375460837332, 9.080766346534695)",0.9205635139938335
Cube Como,bar,"(45.81295498247337, 9.074556529680468)",0.7212484563469328
IP,fuel,"(45.80899084885552, 9.075779533010834)",0.6882077902357691
Chiesa di San Giacomo,place_of_worship,"(45.81229586891674, 9.083393277719725)",0.06141570545538513
Casa Alloggio La sorgente,nursing_home,"(45.80591107306668, 9.080500640550046)",0.697837972360013
Chiesa di San Donnino,place_of_worship,"(45.807646900543816, 9.083697636178156)",0.4595892245175759
Yama-Sushi,restaurant,"(45.810512700000004, 9.0871926)",0.3070921776422424
Chiesa di San Giuliano,place_of_worship,"(45.81257555158062, 9.089331055619938)",0.4477602925866424
Chiesa del Santo Spirito,place_of_worship,"(45.80840201770168, 9.099430698148167)",1.280372361081567
Santuario del Sacro Cuore,place_of_worship,"(45.80921817713241, 9.091579539683378)",0.6766839109990699
Chiesa parrocchiale della Beata Vergine Immacolata,place_of_worship,"(45.831268726218866, 9.037670402406867)",4.180569550460214
Hotel Ristorante Valtellina,restaurant,"(45.83042575000001, 9.038039)",4.108068557272433
Chiesa di San Francesco in Ravanera,place_of_worship,"(45.801245756393214, 9.132329173263516)",3.9585760961245033
ARCA,social_facility,"(45.80326639999999, 9.102093700000001)",1.7157481818392954
Hospice,hospital,"(45.80233481991932, 9.102300063010762)",1.7879364879773387
Chiesa di Sant'Antonino,place_of_worship,"(45.78200984432139, 9.097996552722597)",3.491181538862451
Bar Accadamia - Sala Biliardi,bar,"(45.77965280000001, 9.09233035)",3.6337902444672037
Chiesa di Santa Brigida,place_of_worship,"(45.7912383597016, 9.086322079756945)",2.292551922604706
Parcheggio via Castelnuovo,parking,"(45.80416767772755, 9.098094812258914)",1.4039699387367124
Parcheggio Ippocastano,parking,"(45.802689453114084, 9.091703276095783)",1.1874155379117326
CineTeatro Nuovo,theatre,"(45.789953951206684, 9.075580779483404)",2.506546974125364
Chiesa di San Martino,place_of_worship,"(45.78973055534942, 9.076004821381831)",2.522584720191617
"Trattoria Bar ""Fortino""",restaurant,"(45.83282655, 9.06790955)",2.640797088224814
Cristo Re,place_of_worship,"(45.833222650940016, 9.066729293911026)",2.723042633729966
Poste di Prestino,post_office,"(45.8011406, 9.060739349999999)",2.1400285552781755
Chiesa dei Santi Felice e Francesco d'Assisi,place_of_worship,"(45.798850055763296, 9.059755783105821)",2.350631013413008
Cafearium,cafe,"(45.80300475431857, 9.080182413138147)",1.012791989654665
Autosilo Valduce,parking,"(45.81063789271493, 9.086770255151562)",0.27155466970799824
Duomo di Como,place_of_worship,"(45.81178183320625, 9.083683148070666)",0.0
Parcheggio FS,parking,"(45.80706397733585, 9.075792999241228)",0.8069074384255104
Dogana commerciale di Brogeda,customs,"(45.83544740200545, 9.03683012997925)",4.491666893665513
Parcheggio dipedenti Ospedale Valduce,parking,"(45.80980484083382, 9.088743237665488)",0.4505260351583733
"Como, Piazzale Camerlata",bus_station,"(45.790569413012804, 9.084903626558397)",2.3596144181972543
Chiesetta di Bignanico,place_of_worship,"(45.82265719264747, 9.065225919859113)",1.8758463738425841
"Hospice: ""Villa Celesia""",social_facility,"(45.82302828919627, 9.066068597464529)",1.8538080245830844
Chiesetta di San Nicola,place_of_worship,"(45.81177374243385, 9.119594750720395)",2.7912488110113
Ex Convento Canossiane,place_of_worship,"(45.82161218831501, 9.064685948804826)",1.8367607590534256
Crotto Civiglio,restaurant,"(45.813311299999995, 9.11279255)",2.268890291167655
Chiesa dei Santi Simone e Giuda,place_of_worship,"(45.797615840419304, 9.109424106199198)",2.5461796281165223
Punto Grill,restaurant,"(45.84116210845228, 9.038387930542902)",4.80124266110783
Chiesa di Sant'Agata,place_of_worship,"(45.8071629036462, 9.095078067419353)",1.0237427271057127
Chiesa Parrocchiale di Sant'Antonio di Padova,place_of_worship,"(45.77946287283788, 9.081550825583049)",3.595989556081358
Chiesa di San Cassiano,place_of_worship,"(45.7933555408566, 9.064085242346804)",2.5525534101883305
Santuario di Santa Rita,place_of_worship,"(45.82512489557958, 9.111053265413412)",2.5930694363156843
Caffè Maya,bar,"(45.81449755, 9.0748525)",0.7497915009170258
Farmacia della salute,pharmacy,"(45.83287238212375, 9.066274370111042)",2.7065356124886844
Antico Mognano,restaurant,"(45.83377740040797, 9.049538270309723)",3.6079658361572418
Scuola Primaria Como Sagnino,school,"(45.834547040036696, 9.049466458184874)",3.6704976174168484
Scuola dell'infanzia Mauri,kindergarten,"(45.835186813241876, 9.067215630971555)",2.8991257280638316
Chiesa di San Giuseppe,place_of_worship,"(45.79892905892451, 9.095339876065749)",1.6916965363189809
Basilica di Sant'Abbondio,place_of_worship,"(45.802435093106865, 9.08054988527881)",1.067035224715857
Basilica di San Carpoforo,place_of_worship,"(45.794028150136214, 9.090376955677943)",2.040734873427382
"Centro Pastorale ""Cardinal Ferrari""",social_facility,"(45.80716383759555, 9.08855113681498)",0.6376745891570879
Novosilo Via Sirtori,parking,"(45.806324359963185, 9.089427669637823)",0.7532088021624471
Ospedale Valduce,hospital,"(45.810545721901086, 9.088169481154004)",0.3747965580403626
Chiesa di San Salvatore,place_of_worship,"(45.816793593608864, 9.065670471351684)",1.5067347914018994
Ceccato,cafe,"(45.8143132060281, 9.08250671650312)",0.2958411238971516
Astra,cinema,"(45.80234217263691, 9.086949991388234)",1.0794884147831398
Santuario del Santissimo Crocifisso,place_of_worship,"(45.80628174363784, 9.080802017684588)",0.6510507645473806
Associazione Scuola Montessori,school,"(45.82171634358948, 9.062863130623333)",1.9589567751427253
Associazione Scuola Montessori,school,"(45.83498198197057, 9.064784972406521)",2.967508408260843
Chiesa dei Santi Filippo e Giacomo,place_of_worship,"(45.83650515196521, 9.042304093697796)",4.229730772622305
Asilo Nido Panda Sagnino,kindergarten,"(45.83478376588423, 9.043532999165572)",4.033731688766662
Scuola secondaria di primo grado Don Lorenzo Milani,school,"(45.83675210869996, 9.04077251384886)",4.338403118250903
Lario,car_wash,"(45.835735779887905, 9.067920399701709)",2.9306873101964293
Chiesa di Sant'Orsola,place_of_worship,"(45.80786457119081, 9.088824370555715)",0.590984722651778
Monastero della Visitazione,place_of_worship,"(45.805621233445976, 9.096372370764412)",1.2007130594802613
Baita Bondella,restaurant,"(45.83528836334215, 9.127521811834919)",4.293201925955477
Università degli Studi dell'Insubria - Dipartimento di Chimica,university,"(45.80197728268718, 9.094666455511264)",1.3843634251107517
Chiesa di San Giuseppe,place_of_worship,"(45.800218270146395, 9.096523838959541)",1.627330954442396
Comando Provinciale VV.F. di Como,fire_station,"(45.80097676059592, 9.096027743103484)",1.537237036847618
Carabinieri,police,"(45.780868649999995, 9.100697599999997)",3.6817650309898893
Collegio Santa Chiara,school,"(45.78191028091696, 9.09316363640732)",3.4009751142054943
Istituto Comprensivo Como Lago,school,"(45.81385499421258, 9.088507376403784)",0.4401030308311241
"Scuola Primaria E. Bossi, Breccia",school,"(45.793578697473926, 9.059545050025282)",2.759445892427305
Asilo A. Volta,kindergarten,"(45.79345337729553, 9.064904499541413)",2.506212340241124
"Scuola Primaria ""Nazario Sauro""",school,"(45.80976148357007, 9.08632019273396)",0.30403672562665457
Università degli Studi dell'Insubria - Valleggio Anello,university,"(45.801656109545355, 9.095353414974202)",1.4455363067373712
Università degli Studi dell'Insubria,university,"(45.8019932462944, 9.095388364133322)",1.4182966059857414
Università degli Studi dell'Insubria - Uffici,university,"(45.80240216067973, 9.095044153252717)",1.3662923179784334
Università degli Studi dell'Insubria - Valleggio Piazza,university,"(45.802423575836826, 9.095666833018972)",1.3962912240173966
"Politecnico di Milano, Università dell'Insubria - Como",university,"(45.802241747114735, 9.095126592817333)",1.3840555930692864
Chiesa di Santa Cecilia,place_of_worship,"(45.8041114867095, 9.116494690477507)",2.6891858484436773
Autosilo Via Auguadri,parking,"(45.805816657777505, 9.087390089186458)",0.7229197422129872
Baita Monte Croce,restaurant,"(45.80360163028015, 9.0677338995831)",1.5374178149216606
ISIS Paolo Carcano,school,"(45.80333437306014, 9.095722683893158)",1.3256605677349518
Castelnuovo - A,university,"(45.802691107835784, 9.094807005279124)",1.3298873303210776
Chiesa di San Pietro,place_of_worship,"(45.77504524407846, 9.103609801395411)",4.367228226033219
Al Molo,cafe,"(45.81500472185013, 9.083025220830748)",0.36184807681911757
Crotto del Sergente,restaurant,"(45.80043193537414, 9.109963086529444)",2.400951555471876
Chiesa di San Rocco,place_of_worship,"(45.797796450811475, 9.086976020020096)",1.57537506877605
Biblioteca comunale Paolo Borsellino,library,"(45.80841303036734, 9.081212566617817)",0.42080612663004846
Lario's Bistrot,bar,"(45.787230244958586, 9.061041522047887)",3.247301524365255
Chiesa parrocchiale di San Paolo Apostolo,place_of_worship,"(45.83629226829305, 9.044527233409175)",4.084118600074171
Istituto Comprensivo Prestino Breccia,school,"(45.79517015409288, 9.060780175891423)",2.5649279358345245
Centro di Formazione Professionale ENAIP Como,school,"(45.806899586276714, 9.091841412646003)",0.8346220083047287
Imat Felco s.p.a.,parking,"(45.77701916160667, 9.072445784051087)",3.9613291324711035
Scuola Secondaria di Primo Grado Massina,school,"(45.825100686182324, 9.053521437313245)",2.7723753221159178
LKW/Truck/Bus Parking,parking,"(45.8412014385169, 9.038975063302741)",4.770892637302333
Burgell,lavoir,"(45.82271233448318, 9.064664933412356)",1.9132783014606922
San Pietro ad Vincula,place_of_worship,"(45.82165643804709, 9.064613982766414)",1.8441819766902185
Chiesetta dell'Immacolata,place_of_worship,"(45.82679234723273, 9.059548563307603)",2.510272069582986
Wiener Haus,restaurant,"(45.78362236085256, 9.069398777211772)",3.321034112572938
Cappelletta,place_of_worship,"(45.81989593174454, 9.113436803948284)",2.48209322969404
Parcheggio Crotto Civiglio,parking,"(45.81352407943904, 9.112670158847097)",2.2613024676109683
Madonnetta,place_of_worship,"(45.81926525000001, 9.081716300000002)",0.845694918734452
Chiesa della Beata Vergine di Loreto,place_of_worship,"(45.809947206540016, 9.07670359995025)",0.5795560110036062
La Breva 29,bar,"(45.79556637617373, 9.108187484973243)",2.6223869566629205
Istituto Comprensivo Como Lora Lipomo - Scuola dell'infanzia,kindergarten,"(45.79740121606013, 9.107766157679839)",2.461618362492661
Sala Polifunzionale Oratorio Lora,theatre,"(45.79797609820298, 9.108879137985996)",2.488126784289881
Parcheggio Crotto del Lupo,parking,"(45.826546233434925, 9.057489551857069)",2.614731344937188
Trattoria alla Costa,restaurant,"(45.77565362213772, 9.099716908751123)",4.204612119167961
Banca d'Italia,bank,"(45.811794705735416, 9.080818972485243)",0.22262414837128358
Pontificio Collegio Gallio,school,"(45.80967760873634, 9.076129315268163)",0.6320041093357877
Casa circondariale di Como,prison,"(45.77011399518478, 9.082051131799295)",4.633003103750568
Università dell'Insubria - Sant'Abbondio,university,"(45.80278075118668, 9.080392897171931)",1.0326220910730386
IPSSCTS Gaetano Pessina,school,"(45.74711892844694, 9.011915638671452)",9.099790761114319
Istituto Comprensivo Como Borgovico,school,"(45.8259646343772, 9.06635737467611)",2.0731654162175985
Palazzo di Giustizia,courthouse,"(45.80646971634849, 9.086761605807602)",0.6370747541560939
Istituto Comprensivo Como Albate,school,"(45.78048151470934, 9.095915713758473)",3.6066003715796198
Istituto Comprensivo Como Centro Città,school,"(45.805815766874794, 9.089651216492456)",0.8092709938298366
Istituto Comprensivo Como Rebbio,school,"(45.78878096445123, 9.074583860096544)",2.652551733973052
Istituto Comprensivo Como Borghi - Severino Gobbi,school,"(45.795483016544125, 9.093720776208198)",1.9724738380051476
Istituto Comprensivo Como Lora Lipomo,school,"(45.795965319087465, 9.105444161281318)",2.4396805640911645
